FID,the_geom,ID_order,ID,today,deviceid,simserial,coordinate,Y_coordina,X_coordina,_coordinat,_coordin_1,tree_speci,other,tree_healt,threat,threat_ele,threat_roa,threat_bui,threat_wat,threat_peo,other_thre,other_001,tree_site,tree_base,_submissio,_index,functional,function_1,function_2,other_002,distance_c,angle_bott,angle_top,circumfere,diameter,comment_st,stem_tree_,_id,small_big
dar_es_salaam_trees.66,POINT (39.25521571 -6.770736),66,165,3/11/2020,3.54E+19,8925504410914534724f,-6.770736 39.25521571 -31.0 5.0,-6.770736,39.25521571,-31,5,other,,healthy,electricity/wires road water/sewage,1,1,0,1,0,,,public,Open soil,2020-03-12T06:05:01,63,,,,,,,,,,,,,small
dar_es_salaam_trees.67,POINT (39.26424833 -6.773031667),67,166,3/13/2020,3.53E+19,"8,93E+18",-6.773031666666666 39.26424833333333 20.8 4.1,-6.77303167,39.26424833,20.8,4.1,ashok,,healthy,electricity/wires water/sewage,1,0,0,1,0,,,public,Open soil,2020-03-13T10:22:56,58,,,,,,,,,,,,,small
dar_es_salaam_trees.68,POINT (39.25531365 -6.77095744),68,167,3/11/2020,3.54E+19,8925504410914534724f,-6.77095744 39.25531365 -31.0 5.0,-6.77095744,39.25531365,-31,5,other,,healthy,electricity/wires water/sewage,1,0,0,1,0,,,public,Open soil,2020-03-12T06:04:34,61,,,,,,,,,,,,,small
dar_es_salaam_trees.69,POINT (39.25522744 -6.77077271),69,168,3/11/2020,3.54E+19,8925504410914534724f,-6.77077271 39.25522744 -27.0 5.0,-6.77077271,39.25522744,-27,5,other,,healthy,electricity/wires water/sewage,1,0,0,1,0,,,public,Open soil,2020-03-12T06:04:37,62,,,,,,,,,,,,,small
dar_es_salaam_trees.70,POINT (39.26107833 -6.769865),70,169,3/12/2020,3.53E+19,"8,93E+18",-6.769865 39.26107833333333 -0.1 4.8,-6.769865,39.26107833,-0.1,4.8,other,,healthy,electricity/wires water/sewage,1,0,0,1,0,,,public,Open soil,2020-03-12T09:44:24,14,,,,,,,,,,,,,small
dar_es_salaam_trees.71,POINT (39.26110333 -6.769981667),71,170,3/12/2020,3.53E+19,"8,93E+18",-6.769981666666666 39.26110333333334 11.5 4.9,-6.76998167,39.26110333,11.5,4.9,other,,healthy,electricity/wires water/sewage building/structures,1,0,1,1,0,,,public,adjacent to a hard surface,2020-03-12T09:44:26,15,,,,,,,,,,,,,small
dar_es_salaam_trees.72,POINT (39.26392833 -6.774701667),72,171,3/13/2020,3.53E+19,"8,93E+18",-6.774701666666665 39.26392833333333 14.9 3.7,-6.77470167,39.26392833,14.9,3.7,ashok,,healthy,people,0,0,0,0,1,,,public,Open soil,2020-03-13T10:24:37,60,,,,,,,,,,,,,small
dar_es_salaam_trees.73,POINT (39.26362833 -6.769886667),73,172,3/12/2020,3.59E+19,"8,93E+18",-6.769886666666667 39.26362833333334 -0.0 4.8,-6.76988667,39.26362833,0,4.8,other,,healthy,people,0,0,0,0,1,,,private,Open soil,2020-03-12T09:38:51,10,,,,,,,,,,,,,small
dar_es_salaam_trees.74,POINT (39.26351333 -6.769885),74,173,3/12/2020,3.59E+19,"8,93E+18",-6.7698849999999995 39.263513333333336 0.7 4.8,-6.769885,39.26351333,0.7,4.8,other,,healthy,people,0,0,0,0,1,,,public,Open soil,2020-03-12T09:39:20,12,,,,,,,,,,,,,small
dar_es_salaam_trees.75,POINT (39.26416 -6.772586667),75,174,3/13/2020,3.59E+19,"8,93E+18",-6.772586666666666 39.26416 33.1 4.8,-6.77258667,39.26416,33.1,4.8,other,,healthy,people building/structures,0,0,1,0,1,,,public,Open soil,2020-03-13T10:44:26,62,,,,,,,,,,,,,small
dar_es_salaam_trees.76,POINT (39.26417167 -6.77387),76,175,3/13/2020,3.59E+19,"8,93E+18",-6.77387 39.26417166666667 31.2 4.9,-6.77387,39.26417167,31.2,4.9,ashok,,healthy,people building/structures road,0,1,1,0,1,,,public,Open soil,2020-03-13T10:44:47,64,,,,,,,,,,,,,small
dar_es_salaam_trees.77,POINT (39.26379 -6.769833333),77,176,3/12/2020,3.59E+19,"8,93E+18",-6.7698333333333345 39.26379 1.3 4.7,-6.76983333,39.26379,1.3,4.7,mango,,healthy,road,0,1,0,0,0,,,private,Open soil,2020-03-12T09:39:02,11,,,,,,,,,,,,,small
